date,market_return,prediction,position,trade,strategy_return_gross,cost,strategy_return_net,market_equity,strategy_equity
2024-03-21,0.0,0,-1,2.0,0.0,0.002,-0.002,1.0,0.9980019986673331
2024-03-22,0.004033399915744371,0,-1,0.0,-0.004033399915744371,0.0,-0.004033399915744371,1.0040415450203242,0.9939847644921218
2024-03-25,0.00468522019633587,0,-1,0.0,-0.00468522019633587,0.0,-0.00468522019633587,1.008756737978275,0.9893386196036754
2024-03-26,-0.007876935918428052,1,1,2.0,0.007876935918428052,0.002,0.005876935918428052,1.0008420385091934,0.9951700178657539
2024-03-27,0.008544428374293455,0,-1,2.0,0.008544428374293455,0.002,0.006544428374293455,1.0094303002645426,1.001704194672669
2024-03-28,0.003053793447902987,0,-1,0.0,-0.003053793447902987,0.0,-0.003053793447902987,1.0125176034955345,0.998649862988919
2024-04-01,0.00326551461029285,0,-1,0.0,-0.00326551461029285,0.0,-0.00326551461029285,1.0158293989381626,0.9953940760738277
2024-04-02,-0.0015484091821309372,0,-1,0.0,0.0015484091821309372,0.0,0.0015484091821309372,1.014257696502632,0.9969365472811674
2024-04-03,0.009474051539762952,0,-1,0.0,-0.009474051539762952,0.0,-0.009474051539762952,1.0239124889788107,0.9875361194325752
2024-04-04,-0.01330006988486567,1,1,2.0,0.01330006988486567,0.002,0.01130006988486567,1.0103845420538746,0.9987586347817187
2024-04-05,0.027777320574842966,0,-1,2.0,0.027777320574842966,0.002,0.025777320574842964,1.038843747767711,1.024838648625979
2024-04-08,0.0006481667921116775,0,-1,0.0,-0.0006481667921116775,0.0,-0.0006481667921116775,1.0395173100539785,1.0241745974778669
2024-04-09,0.0025885563003378185,0,-1,0.0,-0.0025885563003378185,0.0,-0.0025885563003378185,1.0422116448504086,1.0215268922164271
2024-04-10,0.0015069094018642995,1,1,2.0,-0.0015069094018642995,0.002,-0.0035069094018642995,1.0437833472859392,1.0179507641974
2024-04-11,0.016533742520170792,0,-1,2.0,0.016533742520170792,0.002,0.014533742520170792,1.061184448659633,1.0328534319475504
2024-04-12,-0.015566165935951603,1,1,2.0,0.015566165935951603,0.002,0.013566165935951603,1.0447937763666997,1.0469607678629858
2024-04-15,-0.013577002419975346,1,1,0.0,-0.013577002419975346,0.0,-0.013577002419975346,1.0307044704356343,1.0328422395084795
2024-04-16,-0.0016350785294987403,1,1,0.0,-0.0016350785294987403,0.0,-0.0016350785294987403,1.0290205647199648,1.0311548412285847
2024-04-17,-0.011190509048215303,1,1,0.0,-0.011190509048215303,0.0,-0.011190509048215303,1.01756949194526,1.0196800179512568
2024-04-18,-0.011428682278624262,1,1,0.0,-0.011428682278624262,0.0,-0.011428682278624262,1.0060062158904166,1.0080927586746073
2024-04-19,-0.025944630354616176,1,1,0.0,-0.025944630354616176,0.0,-0.025944630354616176,0.9802414306243689,0.9822745350441301
2024-04-22,0.01477882204751945,1,1,0.0,0.01477882204751945,0.0,0.01477882204751945,0.9948358226187761,0.9968991970535975
2024-04-23,0.0129496869735391,1,1,0.0,0.0129496869735391,0.0,0.0129496869735391,1.0078024105375836,1.0098926787828308
2024-04-24,-0.01656734624660272,0,-1,2.0,-0.01656734624660272,0.002,-0.018567346246602723,0.9912433476730834,0.991314657740932
2024-04-25,-0.016673704471388103,0,-1,0.0,0.016673704471388103,0.0,0.016673704471388103,0.9748526753801503,1.0079821133519828
2024-04-26,0.03368654484295438,1,1,2.0,-0.03368654484295438,0.002,-0.03568654484295438,1.008251480612215,0.9726449944608794
2024-04-29,0.007432568410519159,1,1,0.0,0.007432568410519159,0.0,0.007432568410519159,1.0157732972980933,0.979901177555527
2024-04-30,-0.03349007554568368,0,-1,2.0,-0.03349007554568368,0.002,-0.03549007554568368,0.9823183047746004,0.9457342896077651
2024-05-01,0.022599831917240992,0,-1,0.0,-0.022599831917240992,0.0,-0.022599831917240992,1.0047712945980198,0.9246005624656921
2024-05-02,0.031455365813882176,1,1,2.0,-0.031455365813882176,0.002,-0.03345536581388218,1.0368790768976184,0.894179424939957
2024-05-03,0.008033933494385928,1,1,0.0,0.008033933494385928,0.0,0.008033933494385928,1.0452428464413315,0.9013921374033083
2024-05-06,0.013283331052944075,0,-1,2.0,0.013283331052944075,0.002,0.011283331052944075,1.0592197777895405,0.9116204394405838
2024-05-07,0.00031790155490542276,0,-1,0.0,-0.00031790155490542276,0.0,-0.00031790155490542276,1.0595565589326745,0.9113306799453395
2024-05-08,-0.004034374926923301,0,-1,0.0,0.004034374926923301,0.0,0.004034374926923301,1.0552905217007136,0.9150147560659223
2024-05-09,0.00794706169253194,1,1,2.0,-0.00794706169253194,0.002,-0.00994706169253194,1.063710392884496,0.9059581657435979
2024-05-10,-0.01071687425686526,1,1,0.0,-0.01071687425686526,0.0,-0.01071687425686526,1.0523716090412885,0.8963009659257986
2024-05-13,-0.00486560722449323,1,1,0.0,-0.00486560722449323,0.0,-0.00486560722449323,1.0472636189514934,0.8919505098586746
2024-05-14,0.002676374471979152,1,1,0.0,0.002676374471979152,0.0,0.002676374471979152,1.050070242679421,0.8943409007973121
2024-05-15,-0.005789979151338446,1,1,0.0,-0.005789979151338446,0.0,-0.005789979151338446,1.044007925148935,0.8891776476159824
2024-05-16,-0.012770048240180923,1,1,0.0,-0.012770048240180923,0.0,-0.012770048240180923,1.030760657727063,0.8778949994676557
2024-05-17,0.005809980560830076,1,1,0.0,0.005809980560830076,0.0,0.005809980560830076,1.036766787966121,0.88301039814289
2024-05-20,-0.006300279871404103,1,1,0.0,-0.006300279871404103,0.0,-0.006300279871404103,1.0302554003610034,0.8774646736575049
2024-05-21,-0.002127134911413819,1,1,0.0,-0.002127134911413819,0.0,-0.002127134911413819,1.0280662372792744,0.8756001716433255
2024-05-22,-0.00010914608364288576,1,1,0.0,-0.00010914608364288576,0.0,-0.00010914608364288576,1.0279540339991355,0.8755046085290183
2024-05-23,-0.011423056748417279,1,1,0.0,-0.011423056748417279,0.0,-0.011423056748417279,1.0162784690127944,0.8655605734704134
2024-05-24,-0.001658392028660058,0,-1,2.0,-0.001658392028660058,0.002,-0.0036583920286600577,1.0145944776457663,0.8623997987698637
2024-05-28,0.007715628907514878,1,1,2.0,-0.007715628907514878,0.002,-0.009715628907514878,1.0224529898234196,0.8540616133020517
2024-05-29,-0.000713895324699002,0,-1,2.0,-0.000713895324699002,0.002,-0.002713895324699002,1.0217233258970821,0.8517469218185895
